Material1,Material2,Coefficient
sticky,brev,1.5
Sticky,Sticky,5
sticky,sticky,2
StopMaterial,"ff1.0",1
Test,Chain,0.3
Test,Concrete,0.4
Test,Test,1
TP package,"ff 0.1",0.1
TP package,"ff1.0",1
TP package,pbTest,0.53
UHMW,Acetal,0.16
UHMW,AR NYLON,0.16
UHMW,Black PU,0.32
UHMW,Bread,0.32
UHMW,Corrugated,0.27
UHMW,DETECTABLE PE,0.17
UHMW,DZ_ff,0.08
UHMW,Elastomer,0.32
UHMW,ELEC COND ACTL,0.16
UHMW,ELEC COND PP COMPOSITE,0.21
UHMW,"ff 0.05",0.05
UHMW,"ff 0.1",0.1
UHMW,"ff 0.2",0.2
UHMW,"ff 0.3",0.3
UHMW,"ff 0.4",0.4
UHMW,"ff 0.5",0.5
UHMW,"ff 0.6",0.6
UHMW,Glue,1.5
UHMW,Grey PU,0.17
UHMW,HIGH STRENGTH EC ACETAL,0.16
UHMW,NYLON (FDA),0.16
UHMW,NYLON (NON-FDA),0.16
UHMW,PE Plastic,0.16
UHMW,Polyethylene,0.32
UHMW,POLYETHYLENE,0.32
UHMW,Polypropylene,0.17
UHMW,POLYPROPYLENE,0.17
UHMW,POLYPROPYLENE COMPOSITE,0.17
UHMW,Polyurethane,0.17
UHMW,Rollers,0.05
UHMW,Rubber,0.6
UHMW,S7000_DZ_ff,0.08
UHMW,SELF EXTINGUISHING LOW MOISTURE,0.16
UHMW,Steel,0.4
UHMW,UV RESISTANT PP,0.17
UV RESISTANT PP,Aluminium,0.4
UV RESISTANT PP,Bread,0.26
UV RESISTANT PP,Corrugated,0.21
UV RESISTANT PP,DZ_ff,0.08
UV RESISTANT PP,"ff 0.05",0.05
UV RESISTANT PP,"ff 0.1",0.1
UV RESISTANT PP,"ff 0.2",0.2
UV RESISTANT PP,"ff 0.3",0.3
UV RESISTANT PP,"ff 0.4",0.4
UV RESISTANT PP,"ff 0.5",0.5
UV RESISTANT PP,"ff 0.6",0.6
UV RESISTANT PP,Glue,1.5
UV RESISTANT PP,PE Plastic,0.17
UV RESISTANT PP,Rubber,0.6
UV RESISTANT PP,S7000_DZ_ff,0.08
UV RESISTANT PP,UV RESISTANT PP,0.32
VeryStickyCardboard,Corrugated,0.7
VeryStickyCardboard,"ff 0.1",0.1
Wood,Acetal,0.3
Wood,ACETAL,0.3
Wood,AR NYLON,0.35
Wood,BeltRollerARB,0.08
Wood,BeltRollerS7000,0.08
Wood,BigFrictionPlate,2
Wood,Black PU,0.6
Wood,Bread,0.34
Wood,brev,1.5
Wood,CardBoard,0.3
Wood,Chain,2
Wood,Concrete,1.2
Wood,"ff 0,08",0.075
Wood,"ff 0,8",0.8
Wood,"ff 0.08",0.075
Wood,"ff 0.1",0.1
Wood,"ff 0.2",0.2
Wood,"ff 0.3",0.3
Wood,"ff 0.4",0.4
Wood,"ff 0.5",0.5
Wood,"ff 0.6",0.6
Wood,"ff 1,0",1
Wood,"ff 1.0",1
Wood,"ff1.0",1
Wood,Free Roller,0.05
Wood,Frictionless,0
Wood,GavityRoller,0.02
Wood,GravityRoller,0.02
Wood,Grey PU,0.3
Wood,HighFriction,9999
Wood,NYLON (FDA),0.35
Wood,NYLON (NON-FDA),0.35
Wood,Passive,0.05
Wood,pbTest,0.6
Wood,PE Plastic,0.3
Wood,Polypropylene,0.35
Wood,POLYPROPYLENE,0.35
Wood,POLYPROPYLENE COMPOSITE,0.35
Wood,Polyurethane,0.6
Wood,"Roller 0,075",0.075
Wood,RollerBelt,0.1
Wood,Rollers,0.08
Wood,Rubber,0.8
Wood,Rubber_2,10
Wood,S7000_DZ_ff,0.08
Wood,SELF EXTINGUISHING LOW MOISTURE,0.35
Wood,Steel,0.4
Wood,Stickum,2
Wood,sticky,2
Wood,Test,1
Wood,UV RESISTANT PP,0.3
Wood,Wood,0.4
Wood,Wood 1,0.4
Wood,Wood 2,0.4
Wood 1,Wood 1,0.4
Wood 1,Wood 2,0.4
Wood 2,Wood 2,0.4
Z,Z,1
Zobbiness,Concrete,45
Zobbiness,"ff 0.1",0.1
Zobbiness,"ff1.0",1
